"","d","control","r1","r2","r3","weight","perc_treated","precinct","municipality","t2009","inc_vs2009","challengers_vs2009","state","anal05","spri05","sdye05","see05","sagua05","srefri05","pisotie05","i_spoverty","corr33","corr66","corr100","t3_info","t2006","inc_vs2006","challengers_vs2006"
"441",0,1,0,0,0,1.27631581049423,NA,598,"COMALCALCO",74.214241027832,34.2527275085449,39.9615135192871,"27",0.0821163430809975,0.334922343492508,0.0589910112321377,0.048676323145628,0.376298725605011,0.365209817886353,0.12927882373333,1.01700556278229,1,0,0,0.00999999977648258,63.8763694763184,34.2562789916992,29.6200904846191
"442",0,1,0,0,0,1.27631581049423,NA,524,"COMALCALCO",65.979377746582,29.160530090332,36.8188514709473,"27",0.0197652876377106,0.192505657672882,0.0239303857088089,0.0145032629370689,0.100797683000565,0.104423493146896,0.00507614202797413,-0.668085157871246,1,0,0,0.00999999977648258,66.8109664916992,29.4372291564941,37.3737373352051
"443",0,1,0,0,0,1.27631581049423,NA,583,"COMALCALCO",74.6921997070312,32.4213409423828,42.2708625793457,"27",0.102236539125443,0.346027672290802,0.0794994905591011,0.0228977091610432,0.211468711495399,0.416940540075302,0.139987081289291,1.07755672931671,1,0,0,0.00999999977648258,62.6794242858887,30.8270683288574,31.8523578643799
"444",0,1,0,0,0,1.27631581049423,NA,557,"COMALCALCO",75.661376953125,27.8439159393311,47.8174591064453,"27",0.0748702213168144,0.281792730093002,0.0643497183918953,0.0158871822059155,0.183949872851372,0.28781658411026,0.149918422102928,0.568371772766113,1,0,0,0.00999999977648258,64.4384994506836,34.4251327514648,30.0133686065674
"445",0,1,0,0,0,1.27631581049423,NA,573,"COMALCALCO",67.2897186279297,29.9732971191406,37.3164215087891,"27",0.0588750280439854,0.305537313222885,0.0691642686724663,0.0211335252970457,0.175792500376701,0.256484150886536,0.0739673376083374,0.364368617534637,1,0,0,0.00999999977648258,58.4677429199219,29.6370964050293,28.8306446075439
"446",0,1,0,0,0,1.27631581049423,NA,512,"COMALCALCO",61.3670120239258,27.4145622253418,33.9524536132812,"27",0.028366181999445,0.196445032954216,0.0519855581223965,0.0368231050670147,0.0729241892695427,0.168592050671577,0.0642599314451218,-0.239248305559158,1,0,0,0.00999999977648258,54.2284851074219,18.5459938049316,35.6824913024902
"447",0,1,0,0,0,1.27631581049423,NA,564,"COMALCALCO",65.8137130737305,34.8004112243652,31.0133056640625,"27",0.0430129244923592,0.256260097026825,0.0329717993736267,0.0312364436686039,0.0433839447796345,0.247722342610359,0.0442516282200813,-0.107350580394268,1,0,0,0.00999999977648258,63.0522079467773,36.3453826904297,26.7068271636963
"448",0,1,0,0,0,1.27631581049423,NA,563,"COMALCALCO",69.0238265991211,36.5872421264648,32.4365882873535,"27",0.0420823730528355,0.260680496692657,0.0383561626076698,0.0372602753341198,0.0454794503748417,0.261369854211807,0.0443835631012917,-0.0400412678718567,1,0,0,0.00999999977648258,63.6991539001465,37.5287780761719,26.1703758239746
"449",0,1,0,0,0,1.27631581049423,NA,601,"COMALCALCO",75.4282302856445,29.5333728790283,45.8948593139648,"27",NA,NA,NA,NA,NA,NA,NA,-4.28653307293914e-10,1,0,0,0.00999999977648258,61.8507461547852,29.9701499938965,31.8805961608887
"450",0,1,0,0,0,1.27631581049423,NA,518,"COMALCALCO",63.6363639831543,30.4812831878662,33.1550788879395,"27",0.0141791952773929,0.156337857246399,0.0506787337362766,0.0524886883795261,0.110407240688801,0.109502255916595,0.0131221720948815,-0.504608035087585,1,0,0,0.00999999977648258,61.1498260498047,22.8222999572754,38.3275260925293
"451",1,0,1,0,0,13.8571434618563,1,546,"COMALCALCO",77.8217849731445,36.0396041870117,41.7821769714355,"27",0.130550190806389,0.414304137229919,0.0436318069696426,0.0182501710951328,0.0604070276021957,0.4390749335289,0.17403519153595,1.16598176956177,1,0,0,0.00999999977648258,67.4280014038086,32.9692153930664,34.4587898254395
"452",0,1,0,0,0,1.27631581049423,NA,571,"COMALCALCO",69.7432327270508,28.3136711120605,41.4295616149902,"27",0.102515019476414,0.322859942913055,0.0732573568820953,0.0137729356065392,0.308512598276138,0.353537529706955,0.123669348657131,0.931548714637756,1,0,0,0.00999999977648258,60.8695640563965,33.3333320617676,27.5362319946289
"453",0,0,1,0,0,13.8571434618563,0,596,"COMALCALCO",69.7332077026367,35.2345924377441,34.4986190795898,"27",0.106909453868866,0.358495742082596,0.0533792488276958,0.0272922944277525,0.206661447882652,0.340551018714905,0.130874663591385,0.905529022216797,1,0,0,0.00999999977648258,61.0956344604492,32.6833801269531,28.4122562408447
"454",0,1,0,0,0,1.27631581049423,NA,575,"COMALCALCO",66.0514984130859,25.8798274993896,40.1716728210449,"27",0.0653195008635521,0.282222926616669,0.0591009221971035,0.0180869624018669,0.350316137075424,0.279394030570984,0.121025316417217,0.577261388301849,1,0,0,0.00999999977648258,48.649845123291,26.6932277679443,21.9566173553467
"455",0,1,0,0,0,1.27631581049423,NA,542,"COMALCALCO",67.6744155883789,20.8527126312256,46.821704864502,"27",0.121008403599262,0.430457770824432,0.0773067325353622,0.0299251861870289,0.379746824502945,0.491271823644638,0.217171728610992,1.77021360397339,1,0,0,0.00999999977648258,62.4326400756836,21.0931491851807,41.3394927978516
"456",0,1,0,0,0,1.27631581049423,NA,519,"COMALCALCO",71.0109634399414,29.7198543548584,41.2911071777344,"27",0.0189846958965063,0.178138330578804,0.0458686798810959,0.0449261702597141,0.0684888437390327,0.10933081805706,0.0116242542862892,-0.520744919776917,1,0,0,0.00999999977648258,71.7703323364258,27.7511959075928,44.0191383361816
"457",0,1,0,0,0,1.27631581049423,NA,579,"COMALCALCO",72.5602722167969,31.802526473999,40.7577514648438,"27",0.0772306472063065,0.33243003487587,0.0722722634673119,0.012597169727087,0.298090368509293,0.340525060892105,0.103913471102715,0.767865002155304,1,0,0,0.00999999977648258,61.9156227111816,31.698974609375,30.2166481018066
"458",1,0,0,1,0,13.8571434618563,1,608,"COMALCALCO",75.8576049804688,30.3559875488281,45.5016174316406,"27",0.0816816315054893,0.311492562294006,0.0843330845236778,0.043229203671217,0.629104256629944,0.326035350561142,0.152952343225479,1.25988042354584,1,0,0,0.00999999977648258,65.4723129272461,33.4201965332031,32.052116394043
